"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 12:59:23 GMT 2023","Mon Jun 05 12:59:25 GMT 2023","2112","","logout.LogoutTest","","logout.LogoutTest","logoutSuccessfully","logoutSuccessfully",""
"passed","Mon Jun 05 12:59:15 GMT 2023","Mon Jun 05 12:59:17 GMT 2023","1445","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithAuth","switchingSuccessfullyToAccountPageWithAuth",""
"passed","Mon Jun 05 12:59:19 GMT 2023","Mon Jun 05 12:59:20 GMT 2023","1029","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromHomePage","loginSuccessfullyFromHomePage",""
"passed","Mon Jun 05 12:59:22 GMT 2023","Mon Jun 05 12:59:23 GMT 2023","1179","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromRegisterPage","loginSuccessfullyFromRegisterPage",""
"passed","Mon Jun 05 12:59:18 GMT 2023","Mon Jun 05 12:59:19 GMT 2023","612","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingSaucesTabsSuccessfully","switchingSaucesTabsSuccessfully",""
"passed","Mon Jun 05 12:59:18 GMT 2023","Mon Jun 05 12:59:18 GMT 2023","702","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingBunsTabsSuccessfully","switchingBunsTabsSuccessfully",""
"passed","Mon Jun 05 12:59:21 GMT 2023","Mon Jun 05 12:59:22 GMT 2023","1053","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromAccountButton","loginSuccessfullyFromAccountButton",""
"passed","Mon Jun 05 12:59:17 GMT 2023","Mon Jun 05 12:59:18 GMT 2023","598","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingFillingTabsSuccessfully","switchingFillingTabsSuccessfully",""
"passed","Mon Jun 05 12:59:20 GMT 2023","Mon Jun 05 12:59:21 GMT 2023","1080","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromPasswordRecoveryPage","loginSuccessfullyFromPasswordRecoveryPage",""
"passed","Mon Jun 05 12:59:07 GMT 2023","Mon Jun 05 12:59:12 GMT 2023","5556","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeFailedRegistrationWithInvalidPassword","makeFailedRegistrationWithInvalidPassword",""
"passed","Mon Jun 05 12:59:15 GMT 2023","Mon Jun 05 12:59:15 GMT 2023","599","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithoutAuth","switchingSuccessfullyToAccountPageWithoutAuth",""
"failed","Mon Jun 05 12:59:12 GMT 2023","Mon Jun 05 12:59:13 GMT 2023","730","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeSuccessfulRegistration","makeSuccessfulRegistration",""
"passed","Mon Jun 05 12:59:13 GMT 2023","Mon Jun 05 12:59:15 GMT 2023","1870","","switchingPages.SwitchingToConstructorTest","","switchingPages.SwitchingToConstructorTest","switchingSuccessfullyToConstructor","switchingSuccessfullyToConstructor",""
