"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 13:06:03 GMT 2023","Mon Jun 05 13:06:03 GMT 2023","801","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingBunsTabsSuccessfully","switchingBunsTabsSuccessfully",""
"passed","Mon Jun 05 13:06:10 GMT 2023","Mon Jun 05 13:06:13 GMT 2023","2361","","logout.LogoutTest","","logout.LogoutTest","logoutSuccessfully","logoutSuccessfully",""
"passed","Mon Jun 05 13:06:02 GMT 2023","Mon Jun 05 13:06:03 GMT 2023","747","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingFillingTabsSuccessfully","switchingFillingTabsSuccessfully",""
"passed","Mon Jun 05 13:05:33 GMT 2023","Mon Jun 05 13:05:56 GMT 2023","22748","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeFailedRegistrationWithInvalidPassword","makeFailedRegistrationWithInvalidPassword",""
"passed","Mon Jun 05 13:06:00 GMT 2023","Mon Jun 05 13:06:02 GMT 2023","1733","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithAuth","switchingSuccessfullyToAccountPageWithAuth",""
"passed","Mon Jun 05 13:06:04 GMT 2023","Mon Jun 05 13:06:06 GMT 2023","2091","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromHomePage","loginSuccessfullyFromHomePage",""
"passed","Mon Jun 05 13:06:03 GMT 2023","Mon Jun 05 13:06:04 GMT 2023","675","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingSaucesTabsSuccessfully","switchingSaucesTabsSuccessfully",""
"passed","Mon Jun 05 13:05:59 GMT 2023","Mon Jun 05 13:06:00 GMT 2023","740","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithoutAuth","switchingSuccessfullyToAccountPageWithoutAuth",""
"passed","Mon Jun 05 13:06:06 GMT 2023","Mon Jun 05 13:06:08 GMT 2023","1376","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromPasswordRecoveryPage","loginSuccessfullyFromPasswordRecoveryPage",""
"passed","Mon Jun 05 13:06:08 GMT 2023","Mon Jun 05 13:06:09 GMT 2023","1245","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromAccountButton","loginSuccessfullyFromAccountButton",""
"failed","Mon Jun 05 13:05:56 GMT 2023","Mon Jun 05 13:05:57 GMT 2023","870","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeSuccessfulRegistration","makeSuccessfulRegistration",""
"passed","Mon Jun 05 13:06:09 GMT 2023","Mon Jun 05 13:06:10 GMT 2023","1570","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromRegisterPage","loginSuccessfullyFromRegisterPage",""
"passed","Mon Jun 05 13:05:57 GMT 2023","Mon Jun 05 13:05:59 GMT 2023","2202","","switchingPages.SwitchingToConstructorTest","","switchingPages.SwitchingToConstructorTest","switchingSuccessfullyToConstructor","switchingSuccessfullyToConstructor",""
