"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 13:12:01 GMT 2023","Mon Jun 05 13:12:02 GMT 2023","1104","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromHomePage","loginSuccessfullyFromHomePage",""
"passed","Mon Jun 05 13:11:57 GMT 2023","Mon Jun 05 13:11:58 GMT 2023","644","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithoutAuth","switchingSuccessfullyToAccountPageWithoutAuth",""
"passed","Mon Jun 05 13:12:00 GMT 2023","Mon Jun 05 13:12:01 GMT 2023","684","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingBunsTabsSuccessfully","switchingBunsTabsSuccessfully",""
"passed","Mon Jun 05 13:12:02 GMT 2023","Mon Jun 05 13:12:04 GMT 2023","1061","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromPasswordRecoveryPage","loginSuccessfullyFromPasswordRecoveryPage",""
"passed","Mon Jun 05 13:11:58 GMT 2023","Mon Jun 05 13:11:59 GMT 2023","1527","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithAuth","switchingSuccessfullyToAccountPageWithAuth",""
"passed","Mon Jun 05 13:11:55 GMT 2023","Mon Jun 05 13:11:57 GMT 2023","1832","","switchingPages.SwitchingToConstructorTest","","switchingPages.SwitchingToConstructorTest","switchingSuccessfullyToConstructor","switchingSuccessfullyToConstructor",""
"passed","Mon Jun 05 13:11:48 GMT 2023","Mon Jun 05 13:11:55 GMT 2023","6366","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeFailedRegistrationWithInvalidPassword","makeFailedRegistrationWithInvalidPassword",""
"passed","Mon Jun 05 13:11:59 GMT 2023","Mon Jun 05 13:12:00 GMT 2023","601","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingFillingTabsSuccessfully","switchingFillingTabsSuccessfully",""
"passed","Mon Jun 05 13:12:06 GMT 2023","Mon Jun 05 13:12:08 GMT 2023","2159","","logout.LogoutTest","","logout.LogoutTest","logoutSuccessfully","logoutSuccessfully",""
"passed","Mon Jun 05 13:12:04 GMT 2023","Mon Jun 05 13:12:05 GMT 2023","1063","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromAccountButton","loginSuccessfullyFromAccountButton",""
"passed","Mon Jun 05 13:12:01 GMT 2023","Mon Jun 05 13:12:01 GMT 2023","622","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingSaucesTabsSuccessfully","switchingSaucesTabsSuccessfully",""
"failed","Mon Jun 05 13:11:55 GMT 2023","Mon Jun 05 13:11:55 GMT 2023","685","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeSuccessfulRegistration","makeSuccessfulRegistration",""
"passed","Mon Jun 05 13:12:05 GMT 2023","Mon Jun 05 13:12:06 GMT 2023","1231","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromRegisterPage","loginSuccessfullyFromRegisterPage",""
