"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 12:54:07 GMT 2023","Mon Jun 05 12:54:08 GMT 2023","624","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithoutAuth","switchingSuccessfullyToAccountPageWithoutAuth",""
"passed","Mon Jun 05 12:54:14 GMT 2023","Mon Jun 05 12:54:15 GMT 2023","1154","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromAccountButton","loginSuccessfullyFromAccountButton",""
"failed","Mon Jun 05 12:54:04 GMT 2023","Mon Jun 05 12:54:05 GMT 2023","852","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeSuccessfulRegistration","makeSuccessfulRegistration",""
"passed","Mon Jun 05 12:54:10 GMT 2023","Mon Jun 05 12:54:11 GMT 2023","693","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingBunsTabsSuccessfully","switchingBunsTabsSuccessfully",""
"passed","Mon Jun 05 12:54:08 GMT 2023","Mon Jun 05 12:54:09 GMT 2023","1561","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithAuth","switchingSuccessfullyToAccountPageWithAuth",""
"passed","Mon Jun 05 12:53:57 GMT 2023","Mon Jun 05 12:54:04 GMT 2023","7584","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeFailedRegistrationWithInvalidPassword","makeFailedRegistrationWithInvalidPassword",""
"passed","Mon Jun 05 12:54:16 GMT 2023","Mon Jun 05 12:54:18 GMT 2023","2223","","logout.LogoutTest","","logout.LogoutTest","logoutSuccessfully","logoutSuccessfully",""
"passed","Mon Jun 05 12:54:09 GMT 2023","Mon Jun 05 12:54:10 GMT 2023","612","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingFillingTabsSuccessfully","switchingFillingTabsSuccessfully",""
"passed","Mon Jun 05 12:54:12 GMT 2023","Mon Jun 05 12:54:14 GMT 2023","1126","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromPasswordRecoveryPage","loginSuccessfullyFromPasswordRecoveryPage",""
"passed","Mon Jun 05 12:54:05 GMT 2023","Mon Jun 05 12:54:07 GMT 2023","1961","","switchingPages.SwitchingToConstructorTest","","switchingPages.SwitchingToConstructorTest","switchingSuccessfullyToConstructor","switchingSuccessfullyToConstructor",""
"passed","Mon Jun 05 12:54:11 GMT 2023","Mon Jun 05 12:54:12 GMT 2023","1152","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromHomePage","loginSuccessfullyFromHomePage",""
"passed","Mon Jun 05 12:54:11 GMT 2023","Mon Jun 05 12:54:11 GMT 2023","569","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingSaucesTabsSuccessfully","switchingSaucesTabsSuccessfully",""
"passed","Mon Jun 05 12:54:15 GMT 2023","Mon Jun 05 12:54:16 GMT 2023","1212","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromRegisterPage","loginSuccessfullyFromRegisterPage",""
